# The work item activity trackers that need no database, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not change
name	{"name":"After"}	{"name":"Before"}	name|updated|Before|After|updated the name to
name	{"name":"Same"}	{"name":"Same"}	-
name	{"name":"New"}	{}	name|updated|<none>|New|updated the name to
name	{"name":null}	{"name":"Before"}	name|updated|Before|<none>|updated the name to
name	{"name":""}	{"name":"Before"}	name|updated|Before||updated the name to
priority	{"priority":"high"}	{"priority":"low"}	priority|updated|low|high|updated the priority to
priority	{"priority":"none"}	{"priority":"none"}	-
priority	{"priority":null}	{"priority":"urgent"}	priority|updated|urgent|<none>|updated the priority to
target_date	{"target_date":"2026-01-02"}	{"target_date":null}	target_date|updated||2026-01-02|updated the target date to
target_date	{"target_date":null}	{"target_date":"2026-01-02"}	target_date|updated|2026-01-02||updated the target date to
target_date	{"target_date":"2026-01-02"}	{"target_date":"2026-01-02"}	-
target_date	{"target_date":"2026-02-03"}	{"target_date":"2026-01-02"}	target_date|updated|2026-01-02|2026-02-03|updated the target date to
start_date	{"start_date":"2026-01-02"}	{"start_date":null}	start_date|updated||2026-01-02|updated the start date to 
start_date	{"start_date":null}	{"start_date":"2026-01-02"}	start_date|updated|2026-01-02||updated the start date to 
start_date	{"start_date":"2026-02-03"}	{"start_date":"2026-01-02"}	start_date|updated|2026-01-02|2026-02-03|updated the start date to 
archived_at	{"archived_at":null}	{"archived_at":"2026-01-02"}	archived_at|updated|archive|restore|has restored the issue
archived_at	{"archived_at":"2026-01-02"}	{"archived_at":null}	archived_at|updated|<none>|manual_archive|Actor has archived the issue
archived_at	{"archived_at":"2026-01-02","automation":true}	{"archived_at":null}	archived_at|updated|<none>|archive|Plane has archived the issue
archived_at	{"archived_at":"2026-01-02","automation":false}	{"archived_at":null}	archived_at|updated|<none>|manual_archive|Actor has archived the issue
archived_at	{"archived_at":"2026-01-02"}	{"archived_at":"2026-01-02"}	-
