# Every migration the database goes through, in order. Columns: app	name	operations that carry code rather than schema changes (semicolon separated)	whether it runs in a transaction.
#
# The first 164 rows were recorded from the Django app this replaced, by running its migrations and capturing the statements. That app is gone, so they are now a frozen history: they describe migrations that have already run everywhere and cannot change. A new migration is appended here by hand, with its statements in sql/<app>/<name>.sql.
contenttypes	0001_initial		atomic
contenttypes	0002_remove_content_type_name	noop	atomic
auth	0001_initial		atomic
auth	0002_alter_permission_name_max_length		atomic
auth	0003_alter_user_email_max_length		atomic
auth	0004_alter_user_username_opts		atomic
auth	0005_alter_user_last_login_null		atomic
auth	0006_require_contenttypes_0002		atomic
auth	0007_alter_validators_add_error_messages		atomic
auth	0008_alter_user_username_max_length		atomic
auth	0009_alter_user_last_name_max_length		atomic
auth	0010_alter_group_name_max_length		atomic
auth	0011_update_proxy_permissions	update_proxy_model_permissions	atomic
auth	0012_alter_user_first_name_max_length		atomic
db	0001_initial		atomic
db	0002_auto_20221104_2239		atomic
db	0003_auto_20221109_2320		atomic
db	0004_alter_state_sequence		atomic
db	0005_auto_20221114_2127		atomic
db	0006_alter_cycle_status		atomic
db	0007_label_parent		atomic
db	0008_label_colour		atomic
db	0009_auto_20221208_0310		atomic
db	0010_auto_20221213_0037		atomic
db	0011_auto_20221222_2357		atomic
db	0012_auto_20230104_0117		atomic
db	0013_auto_20230107_0041		atomic
db	0014_alter_workspacememberinvite_unique_together		atomic
db	0015_auto_20230107_1636		atomic
db	0016_auto_20230107_1735		atomic
db	0017_alter_workspace_unique_together		atomic
db	0018_auto_20230130_0119		atomic
db	0019_auto_20230131_0049		atomic
db	0020_auto_20230214_0118		atomic
db	0021_auto_20230223_0104		atomic
db	0022_auto_20230307_0304		atomic
db	0023_auto_20230316_0040		atomic
db	0024_auto_20230322_0138		atomic
db	0025_auto_20230331_0203		atomic
db	0026_alter_projectmember_view_props		atomic
db	0027_auto_20230409_0312		atomic
db	0028_auto_20230414_1703		atomic
db	0029_auto_20230502_0126		atomic
db	0030_alter_estimatepoint_unique_together		atomic
db	0031_analyticview		atomic
db	0032_auto_20230520_2015		atomic
db	0033_auto_20230618_2125		atomic
db	0034_auto_20230628_1046		atomic
db	0035_auto_20230704_2225	update_company_organization_size	atomic
db	0036_alter_workspace_organization_size		atomic
db	0037_issue_archived_at_project_archive_in_and_more	onboarding_default_steps	atomic
db	0038_auto_20230720_1505	restructure_theming	atomic
db	0039_auto_20230723_2203	rename_field;update_workspace_member_props;update_project_member_sort_order	atomic
db	0040_projectmember_preferences_user_cover_image_and_more		atomic
db	0041_cycle_sort_order_issuecomment_access_and_more	generate_display_name;rectify_field_issue_activity;update_assignee_issue_activity;update_name_activity;random_cycle_order;random_module_order;update_user_issue_properties;workspace_member_properties	atomic
db	0042_alter_analyticview_created_by_and_more	update_user_timezones	atomic
db	0043_alter_analyticview_created_by_and_more	create_issue_relation;update_issue_priority_choice	atomic
db	0044_auto_20230913_0709	update_workspace_member_view_props;update_project_member_view_props;update_cycle_props;update_module_props	atomic
db	0045_issueactivity_epoch_workspacemember_issue_props_and_more	update_issue_activity_priority;update_issue_activity_blocked	atomic
db	0046_label_sort_order_alter_analyticview_created_by_and_more	random_sort_ordering	atomic
db	0047_webhook_apitoken_description_apitoken_expired_at_and_more		atomic
db	0048_auto_20231116_0713		atomic
db	0049_auto_20231116_0713	update_pages	atomic
db	0050_user_use_case_alter_workspace_organization_size	user_password_autoset	atomic
db	0051_cycle_external_id_cycle_external_source_and_more		atomic
db	0052_auto_20231220_1141		atomic
db	0053_auto_20240102_1315	workspace_user_properties;project_user_properties;issue_view	atomic
db	0054_dashboard_widget_dashboardwidget		atomic
db	0055_auto_20240108_0648	create_widgets;create_dashboards;create_dashboard_widgets	atomic
db	0056_usernotificationpreference_emailnotificationlog		atomic
db	0057_auto_20240122_0901	create_notification_preferences	atomic
db	0058_alter_moduleissue_issue_and_more		atomic
db	0059_auto_20240208_0957	widgets_filter_change	atomic
db	0060_cycle_progress_snapshot		atomic
db	0061_project_logo_props	update_project_logo_props	atomic
db	0062_cycle_archived_at_module_archived_at_and_more		atomic
db	0063_state_is_triage_alter_state_group	update_project_state_group	atomic
db	0064_auto_20240409_1134		atomic
db	0065_auto_20240415_0937	migrate_user_profile;user_favorite_migration	atomic
db	0066_account_id_token_cycle_logo_props_module_logo_props		atomic
db	0067_issue_estimate	issue_estimate_point;last_used_estimate;populate_deploy_board	atomic
db	0068_remove_pagelabel_project_remove_pagelog_project_and_more	migrate_pages	atomic
db	0069_alter_account_provider_and_more	populate_views_owned_by	atomic
db	0070_apitoken_is_service_exporterhistory_filters_and_more		atomic
db	0071_rename_issueproperty_issueuserproperty_and_more		atomic
db	0072_issueattachment_external_id_and_more		atomic
db	0073_alter_commentreaction_unique_together_and_more		atomic
db	0074_deploy_board_and_project_issues		atomic
db	0075_alter_fileasset_asset		atomic
db	0076_alter_projectmember_role_and_more	update_workspace_project_member_role	atomic
db	0077_draftissue_cycle_user_timezone_project_user_timezone_and_more	migrate_draft_issues	atomic
db	0078_fileasset_comment_fileasset_entity_type_and_more		atomic
db	0079_auto_20241009_0619	move_attachment_to_fileasset;mark_existing_file_uploads	atomic
db	0080_fileasset_draft_issue_alter_fileasset_entity_type		atomic
db	0081_remove_globalview_created_by_and_more		atomic
db	0082_alter_issue_managers_alter_cycleissue_issue_and_more		atomic
db	0083_device_workspace_timezone_and_more		atomic
db	0084_remove_label_label_unique_name_project_when_deleted_at_null_and_more		atomic
