# Ground truth for lxml.html.fromstring + tostring over a work item description, generated by apps/api-go/tools/generate_lxml_fragment_fixture.py. Do not edit by hand.
# Each row is a JSON-quoted input, the outcome, and a JSON-quoted result. ERROR means lxml refused it.
"<p>ok</p>"	OK	"<p>ok</p>"
"<p></p>"	OK	"<p></p>"
"<p><br></p>"	OK	"<p><br></p>"
"<p>a</p><p>b</p>"	OK	"<div><p>a</p><p>b</p></div>"
"<h1>t</h1><p>b</p>"	OK	"<div><h1>t</h1><p>b</p></div>"
"<div><p>x</p></div>"	OK	"<div><p>x</p></div>"
"<p>a<b>c</b>d</p>"	OK	"<p>a<b>c</b>d</p>"
"<p class='x' id='y'>z</p>"	OK	"<p class=\"x\" id=\"y\">z</p>"
"<ul><li>a<li>b</ul>"	OK	"<ul><li>a</li><li>b</li></ul>"
"<ol><li>one</li></ol>"	OK	"<ol><li>one</li></ol>"
"<blockquote><p>q</p></blockquote>"	OK	"<blockquote><p>q</p></blockquote>"
"<pre><code>x = 1</code></pre>"	OK	"<pre><code>x = 1</code></pre>"
"<table><tr><td>1</table>"	OK	"<table><tr><td>1</td></tr></table>"
"<table><tbody><tr><td>1</td></tr></tbody></table>"	OK	"<table><tbody><tr><td>1</td></tr></tbody></table>"
"<table><thead><tr><th>h</th></tr></thead><tbody><tr><td>1</td></tr></tbody></table>"	OK	"<table><thead><tr><th>h</th></tr></thead><tbody><tr><td>1</td></tr></tbody></table>"
"<p>a</p><p>b</p><p>c</p>"	OK	"<div><p>a</p><p>b</p><p>c</p></div>"
"<img src=x>"	OK	"<img src=\"x\">"
"<p><img src='x' alt='a'></p>"	OK	"<p><img src=\"x\" alt=\"a\"></p>"
"<a href='https://example.com'>link</a>"	OK	"<a href=\"https://example.com\">link</a>"
"  <p>x</p>  "	OK	"<p>x</p>  "
"<p>a</p> "	OK	"<p>a</p> "
"\n<p>a</p>\n"	OK	"<p>a</p>\n"
"plain text"	OK	"<span>plain text</span>"
"5"	OK	"<span>5</span>"
"&amp;"	OK	"<span>&amp;</span>"
"text <b>bold</b>"	OK	"<span>text <b>bold</b></span>"
"text<p>x</p>"	OK	"<div>text<p>x</p></div>"
"<p>a</p>trailing"	OK	"<div><p>a</p>trailing</div>"
"<span>a</span><span>b</span>"	OK	"<span><span>a</span><span>b</span></span>"
"<b>a</b><i>b</i>"	OK	"<span><b>a</b><i>b</i></span>"
"<span>a</span><p>b</p>"	OK	"<div><span>a</span><p>b</p></div>"
"<p>unclosed"	OK	"<p>unclosed</p>"
"<p><b>a</p>"	OK	"<p><b>a</b></p>"
"<div><p>a</div>"	OK	"<div><p>a</p></div>"
"<script>alert(1)</script>"	OK	"<html><head><script>alert(1)</script></head></html>"
"<style>a{}</style>"	OK	"<html><head><style>a{}</style></head></html>"
"<title>t</title>"	OK	"<html><head><title>t</title></head></html>"
"<meta charset='utf-8'>"	OK	"<html><head><meta charset=\"utf-8\"></head></html>"
"<head><title>t</title></head>"	OK	"<html><head><title>t</title></head></html>"
"<html><body><p>x</p></body></html>"	OK	"<html><body><p>x</p></body></html>"
"<!DOCTYPE html><html><body><p>x</p></body></html>"	OK	"<html><body><p>x</p></body></html>"
"<body><p>x</p></body>"	OK	"<p>x</p>"
"<!-- c --><p>x</p>"	OK	"<p>x</p>"
"<p>a</p><!-- c -->"	OK	"<div><p>a</p><!-- c --></div>"
"<p>a<!-- c -->b</p>"	OK	"<p>a<!-- c -->b</p>"
""	ERROR	""
"   "	ERROR	""
"\n\t "	ERROR	""
"<!-- only comment -->"	ERROR	""
"<P>UP</P>"	OK	"<p>UP</p>"
"<p>&lt;script&gt;</p>"	OK	"<p>&lt;script&gt;</p>"
"<p>a &amp; b</p>"	OK	"<p>a &amp; b</p>"
"<p>a & b</p>"	OK	"<p>a &amp; b</p>"
"<p title='he said \"hi\"'>x</p>"	OK	"<p title='he said \"hi\"'>x</p>"
"<p title=\"a&quot;b&#39;c\">x</p>"	OK	"<p title=\"a&quot;b'c\">x</p>"
"<p title=\"a&lt;b&amp;c\">x</p>"	OK	"<p title=\"a&lt;b&amp;c\">x</p>"
"<p>a>b</p>"	OK	"<p>a&gt;b</p>"
"<script>if (a<b) {}</script>"	OK	"<html><head><script>if (a<b) {}</script></head></html>"
"<pre>  x  </pre>"	OK	"<pre>  x  </pre>"
"<p>\u4e2d\u6587</p>"	OK	"<p>\u4e2d\u6587</p>"
"<br>"	OK	"<br>"
"<hr/>"	OK	"<hr>"
"<input type=text value=1>"	OK	"<input type=\"text\" value=\"1\">"
"<p>a</p><img src=x onerror=alert(1)>"	OK	"<div><p>a</p><img src=\"x\" onerror=\"alert(1)\"></div>"
"<a href='javascript:alert(1)'>x</a>"	OK	"<a href=\"javascript:alert(1)\">x</a>"
