# The instance configuration variables apps/api seeds, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not change
# Columns: key	environment variable	default	category	encrypted. Do not edit by hand.
ENABLE_SIGNUP	ENABLE_SIGNUP	1	AUTHENTICATION	0
ENABLE_EMAIL_PASSWORD	ENABLE_EMAIL_PASSWORD	1	AUTHENTICATION	0
ENABLE_MAGIC_LINK_LOGIN	ENABLE_MAGIC_LINK_LOGIN	0	AUTHENTICATION	0
DISABLE_WORKSPACE_CREATION	DISABLE_WORKSPACE_CREATION	0	WORKSPACE_MANAGEMENT	0
IS_GOOGLE_ENABLED	IS_GOOGLE_ENABLED	0	GOOGLE	0
GOOGLE_CLIENT_ID	GOOGLE_CLIENT_ID		GOOGLE	0
GOOGLE_CLIENT_SECRET	GOOGLE_CLIENT_SECRET		GOOGLE	1
ENABLE_GOOGLE_SYNC	ENABLE_GOOGLE_SYNC	0	GOOGLE	0
IS_GITHUB_ENABLED	IS_GITHUB_ENABLED	0	GITHUB	0
GITHUB_CLIENT_ID	GITHUB_CLIENT_ID		GITHUB	0
GITHUB_CLIENT_SECRET	GITHUB_CLIENT_SECRET		GITHUB	1
GITHUB_ORGANIZATION_ID	GITHUB_ORGANIZATION_ID		GITHUB	0
ENABLE_GITHUB_SYNC	ENABLE_GITHUB_SYNC	0	GITHUB	0
IS_GITLAB_ENABLED	IS_GITLAB_ENABLED	0	GITLAB	0
GITLAB_HOST	GITLAB_HOST		GITLAB	0
GITLAB_CLIENT_ID	GITLAB_CLIENT_ID		GITLAB	0
GITLAB_CLIENT_SECRET	GITLAB_CLIENT_SECRET		GITLAB	1
ENABLE_GITLAB_SYNC	ENABLE_GITLAB_SYNC	0	GITLAB	0
IS_GITEA_ENABLED	IS_GITEA_ENABLED	0	GITEA	0
GITEA_HOST	GITEA_HOST		GITEA	0
GITEA_CLIENT_ID	GITEA_CLIENT_ID		GITEA	0
GITEA_CLIENT_SECRET	GITEA_CLIENT_SECRET		GITEA	1
ENABLE_GITEA_SYNC	ENABLE_GITEA_SYNC	0	GITEA	0
ENABLE_SMTP	ENABLE_SMTP	0	SMTP	0
EMAIL_HOST	EMAIL_HOST		SMTP	0
EMAIL_HOST_USER	EMAIL_HOST_USER		SMTP	0
EMAIL_HOST_PASSWORD	EMAIL_HOST_PASSWORD		SMTP	1
EMAIL_PORT	EMAIL_PORT	587	SMTP	0
EMAIL_FROM	EMAIL_FROM		SMTP	0
EMAIL_USE_TLS	EMAIL_USE_TLS	1	SMTP	0
EMAIL_USE_SSL	EMAIL_USE_SSL	0	SMTP	0
LLM_API_KEY	LLM_API_KEY		AI	1
LLM_PROVIDER	LLM_PROVIDER	openai	AI	0
LLM_BASE_URL	LLM_BASE_URL		AI	0
LLM_MODEL	LLM_MODEL	gpt-4o-mini	AI	0
GPT_ENGINE	GPT_ENGINE	gpt-3.5-turbo	AI	0
UNSPLASH_ACCESS_KEY	UNSPLASH_ACCESS_KEY		UNSPLASH	1
