# Ground truth for the external work item list ordering, generated by apps/api-go/tools/generate_external_issue_order_fixture.py. Do not edit by hand.
archived_at	archived_at ASC
-archived_at	archived_at DESC
assignees__first_name	MAX(user.first_name) ASC
-assignees__first_name	MAX(user.first_name) DESC
completed_at	completed_at ASC
-completed_at	completed_at DESC
created_at	created_at ASC
-created_at	created_at DESC
issue_module__module__name	module.name ASC
-issue_module__module__name	module.name DESC
labels__name	MAX(label.name) ASC
-labels__name	MAX(label.name) DESC
priority	CASE WHEN priority = urgent THEN 0 WHEN priority = high THEN 1 WHEN priority = medium THEN 2 WHEN priority = low THEN 3 WHEN priority = none THEN 4 ELSE NULL END ASC
-priority	CASE WHEN priority = none THEN 0 WHEN priority = low THEN 1 WHEN priority = medium THEN 2 WHEN priority = high THEN 3 WHEN priority = urgent THEN 4 ELSE NULL END ASC
sequence_id	sequence_id ASC
-sequence_id	sequence_id DESC
sort_order	sort_order ASC
-sort_order	sort_order DESC
start_date	start_date ASC
-start_date	start_date DESC
state__group	CASE WHEN state.group = backlog THEN 0 WHEN state.group = unstarted THEN 1 WHEN state.group = started THEN 2 WHEN state.group = completed THEN 3 WHEN state.group = cancelled THEN 4 ELSE 5 END ASC
-state__group	CASE WHEN state.group = cancelled THEN 0 WHEN state.group = completed THEN 1 WHEN state.group = started THEN 2 WHEN state.group = unstarted THEN 3 WHEN state.group = backlog THEN 4 ELSE 5 END ASC
state__name	CASE WHEN state.group = backlog THEN 0 WHEN state.group = unstarted THEN 1 WHEN state.group = started THEN 2 WHEN state.group = completed THEN 3 WHEN state.group = cancelled THEN 4 ELSE 5 END ASC
-state__name	CASE WHEN state.group = cancelled THEN 0 WHEN state.group = completed THEN 1 WHEN state.group = started THEN 2 WHEN state.group = unstarted THEN 3 WHEN state.group = backlog THEN 4 ELSE 5 END ASC
target_date	target_date ASC
-target_date	target_date DESC
updated_at	updated_at ASC
-updated_at	updated_at DESC
	created_at DESC
--created_at	created_at DESC
project__name	created_at DESC
state__id	created_at DESC
